author,coin,danmaku,favorite,id,like,rank_num,rank_tab,reply,score,share,tag_name,title,view
花村游戏厅小学生,6146,4099,22848,86218391,14498,75,影视,365,821285,2190,"短片,爱情公寓,花絮,爱5",最全爱5花絮--机密档案（持续更新）,455471
不嗨的宏观君,14357,2074,12688,84031633,42106,74,影视,719,822336,7415,"爱情公寓5,网剧,今日说法",吕某与陈某因盗窃被《今日说法》报道,827740
知竹zZ,35906,12215,22197,85873993,40492,73,影视,2457,841607,12129,"短片,古风,微电影,自制,原创",【知竹】医女和兔子精的故事2 高甜CP的日常 原创古风短剧,335930
虫哥说电影,57462,15082,9414,85675689,86311,72,影视,8693,847492,2065,"影评,楚天佑,司马玉龙,经典,喜剧,电视剧解说,影视鉴评挑战,搞笑,电影解说,剧评杂谈,吐槽",【虫哥】皇帝出宫找麻麻神剧《龙游天下》！一路专治各种渣男、渣婆、渣娘~,907445
赤刃edge,43826,1456,24958,88805075,52203,71,影视,912,848310,1970,"情人节一起嗑CP,吕子乔,曾小贤,爱情公寓,诸葛大力,爱情公寓5,关谷神奇,胡一菲,成果,爱情公寓4",爱 情 公 寓 6  【全员到齐】,393828
正宇JW,6701,2067,12305,85070341,38427,70,影视,817,850828,1292,"诸葛大力,bilibili新星计划,爱情公寓,张伟,成果,爱情公寓5",【诸葛大力/成果】大力心动时刻，船新版本！,1239046
中队长同志,13390,2593,14896,87524823,27881,69,影视,3571,860835,5517,"影评,寄生虫,影视鉴评挑战,韩国,奥斯卡,电影,摄影,剪辑,影评杂谈,拍摄",凭什么内定奥斯卡!《寄生虫》终极解刨（神预言看发布时间)丨B站唯一影视创作实战向干货丨看懂就会拍【中队长拉片笔记01】,832857
逆转的桥,216842,9485,135986,82346558,221903,68,影视,6323,860994,59313,"肖战,言冰云,庆余年,张若昀,范闲,陈道明,郭麒麟,刘端端,范思辙,李承泽,2019bilibili年度影视大征稿",【现代版！庆余年】反穿越：回到现代（商战AU）,2186117
TFBOYS的怪阿姨,34433,9728,39817,82615048,53534,67,影视,1180,870424,11461,"任嘉伦,锦衣之下,陆绎",锦衣之下 || 陆绎 || 我可不是什么坐怀不乱之人,695314
开原著名恶仗主打人,10827,604,14908,84270412,39030,66,影视,435,871229,1160,"影视混剪,全能打卡挑战,音乐,电影,电影剪辑,混剪,影视剪辑,后海大鲨鱼",每 天 亿 遍 防 抑 郁,924878
猫禾Maohe,7144,746,25132,83819803,31258,65,影视,331,874911,1320,"影视混剪,刘亦菲,天海佑希,凯特布兰切特,攻气十足,alpha,混剪,电影剪辑,影视剪辑,踩点燃向",【踩点|女 Alpha|全场最A】可战斗可妩媚|我是自己的铠甲,422058
狂阿弥爷,23883,2094,16602,83528730,43276,64,影视,711,897809,1289,赛博朋克,这部末世神作，影响了科幻电影近半个世纪【拜年祭情报】,784125
夜雨声烦づ凡,159290,22996,130296,79674288,266149,63,影视,2538,904457,24200,"吕子乔,爱情公寓,泪目,曾小贤,热血,全能打卡挑战,自制,关谷神奇,张伟,陈美嘉",【吕子乔】请叫我—人生导师和精神向导！！！,2293138
